pitch_type,batted_ball_type,hit_x,hit_y,exit_velocity,launch_angle,outcome
CH,fly_ball,66.11999999999999,122.09,92.9,35,field_out
FF,ground_ball,-22.200000000000003,58.75,55.8,14,single
FF,line_drive,5.1499999999999915,71.64000000000001,92.1,11,field_out
CH,fly_ball,-27.78,135.87,106.2,43,field_out
SI,line_drive,-47.68000000000001,147.41000000000003,112,20,double
SL,fly_ball,1.019999999999996,166.23000000000002,105.6,25,home_run
CH,fly_ball,69.33,128.9,104.4,24,field_out
CH,fly_ball,63.239999999999995,114.15,95.2,48,field_out
SI,ground_ball,22.929999999999993,44.610000000000014,89.3,-19,fielders_choice
FF,ground_ball,-18.120000000000005,47.10000000000002,87.7,-25,field_out
CH,line_drive,77.01,70.32000000000001,90.1,14,triple
CH,fly_ball,47.719999999999985,98.02000000000001,99.5,54,field_out
CU,fly_ball,42.45,113.63000000000001,104.1,48,field_out
FC,ground_ball,32.510000000000005,29.630000000000024,101.6,3,field_out
CU,line_drive,93.36,89.54,109.9,14,double
SL,ground_ball,31.89999999999999,57.51000000000002,79.9,2,field_out
CH,ground_ball,47.42,61.58000000000001,83.2,3,single
CH,fly_ball,-65.05000000000001,75.69000000000001,95.7,57,field_out
CH,ground_ball,37.36,61.75,101.6,0,field_out
KC,line_drive,19.200000000000003,60.71000000000001,89.9,11,field_out
FC,ground_ball,25.14,45.23000000000002,82.3,0,grounded_into_double_play
FC,fly_ball,12.049999999999997,148.56,97.3,25,field_out
SI,ground_ball,26.040000000000006,43.400000000000006,95.9,1,grounded_into_double_play
FC,fly_ball,-41.989999999999995,92.41000000000001,82,39,field_out
FF,line_drive,23.66000000000001,111.14000000000001,110.6,9,double
FC,line_drive,5.969999999999985,123.82000000000001,87.7,21,single
CH,ground_ball,36.7,56.130000000000024,91.2,6,field_out
CH,ground_ball,-11.219999999999999,32.32000000000002,72.4,-7,field_out
FS,fly_ball,91.83999999999999,127.62,113.1,22,home_run
SL,ground_ball,39.67,59.620000000000005,89.4,6,single
SL,fly_ball,38.510000000000005,183.28,110.4,26,home_run
SL,line_drive,24.559999999999988,28.640000000000015,82.5,9,field_out
KC,ground_ball,31.64999999999999,48.890000000000015,102.2,-1,field_out
SI,ground_ball,25.89999999999999,108.91000000000001,88.8,-1,single
CH,ground_ball,24.61,61.76000000000002,79.7,10,single
SL,fly_ball,103.27999999999999,132.71,112.6,25,home_run
CU,ground_ball,18.08,69.55000000000001,97.4,9,field_out
SL,line_drive,81.48,101.73,104.8,18,double
SI,line_drive,32.45,150.01000000000002,113.8,17,double
FS,ground_ball,25.08999999999999,41.640000000000015,78,-8,field_out
FF,line_drive,11.429999999999993,167.51000000000002,115.9,15,double
CU,popup,-20.33,42.80000000000001,78.8,68,field_out
CH,fly_ball,-18.10000000000001,128.62,93.6,39,field_out
SL,fly_ball,33.010000000000005,165.61,107.3,25,home_run
CU,ground_ball,37.58,35.27000000000001,97.5,-18,single
SL,popup,-14.430000000000007,61.380000000000024,72.4,60,field_out
CH,fly_ball,37.08999999999999,101.77000000000001,89.3,52,field_out
SL,line_drive,-1.8200000000000074,128.62,107.7,11,single
FC,fly_ball,-36.629999999999995,89.16000000000001,83.4,52,field_out
SI,line_drive,94.36,91.71000000000001,106.6,14,double
CU,fly_ball,-36.94,119.75000000000001,107.5,42,field_out
FS,ground_ball,18.070000000000007,29.420000000000016,88.6,-1,single
CH,fly_ball,-32.72,94.85000000000001,90.3,53,field_out
SI,fly_ball,99.82000000000001,159.83,116.5,31,home_run
CU,ground_ball,29.049999999999997,38.94,71.3,-3,field_out
CU,ground_ball,51.8,65.9,107.4,9,field_out
CH,fly_ball,101.16000000000001,144.32,114.5,25,home_run
SI,fly_ball,-27,81.94000000000001,64.4,28,single
FC,popup,-28.180000000000007,51.94,58.8,54,field_out
FS,line_drive,82.17999999999999,101.69000000000001,107.5,18,double
SI,line_drive,-34.28,91.82000000000001,74,22,single
SI,ground_ball,2.8999999999999915,22.22,50.4,-12,force_out
SL,ground_ball,49.11,76.51,101.3,12,field_out
SL,fly_ball,-39.55,118.95000000000002,98.9,45,field_out
SL,fly_ball,6.640000000000001,185.36,112.5,31,home_run
SL,fly_ball,-28.730000000000004,136.10000000000002,102.3,41,field_out
CH,ground_ball,22.42,35.56,74.8,-9,field_out
CH,fly_ball,29.510000000000005,111.24000000000001,101,53,field_out
FF,fly_ball,63.760000000000005,155.56,104.5,30,home_run
SI,fly_ball,-99.16,128.05,111.1,28,home_run
SL,ground_ball,33.89,65.58000000000001,90.3,11,field_out
FF,fly_ball,26.89999999999999,74.24000000000001,66.8,50,field_out
FF,fly_ball,-36.400000000000006,125.19000000000001,96,45,field_out
FF,line_drive,87.23,114.79,112.4,18,home_run
CH,fly_ball,67.94000000000001,144.25,109.6,23,home_run
FF,ground_ball,36.459999999999994,43.09,83.4,-33,field_out
SL,fly_ball,12.690000000000012,155.19,100.2,35,field_out
