Title,Directors,vote_date,day_of_week,weekend,duration,ratings,movie_period,num_votes,imdb_rating
Detachment,Tony Kaye,2013-09-15,Sunday,Weekend,Medium,High,Modern,62555,7.7
Pusher,Luis Prieto,2013-09-01,Sunday,Weekend,Short,Med,Modern,4053,5.5
Now You See Me,Louis Leterrier,2013-08-25,Sunday,Weekend,Medium,Med,Modern,501322,7.3
Hesher,Spencer Susser,2013-08-20,Tuesday,Workday,Medium,High,Modern,45982,7.1
Robot & Frank,Jake Schreier,2013-08-20,Tuesday,Workday,Short,Med,Modern,55370,7.1
Election,Alexander Payne,2013-08-20,Tuesday,Workday,Medium,Med,Old,77060,7.3
Midnight in Paris,Woody Allen,2013-08-20,Tuesday,Workday,Medium,Med,Modern,325471,7.7
The Life Aquatic with Steve Zissou,Wes Anderson,2013-08-20,Tuesday,Workday,Medium,Med,Modern,150439,7.3
The Hunt,Thomas Vinterberg,2013-08-17,Saturday,Weekend,Medium,High,Modern,198430,8.3
The Conjuring,James Wan,2013-08-15,Thursday,Workday,Medium,Med,Modern,338349,7.5
The Perks of Being a Wallflower,Stephen Chbosky,2013-07-31,Wednesday,Workday,Medium,Med,Modern,383873,8
Match Point,Woody Allen,2013-07-31,Wednesday,Workday,Long,Med,Modern,177883,7.7
Broken City,Allen Hughes,2013-07-29,Monday,Workday,Medium,Low,Modern,67243,6.2
Side Effects,Steven Soderbergh,2013-07-29,Monday,Workday,Medium,Med,Modern,156634,7.1
The Adjustment Bureau,George Nolfi,2013-07-18,Thursday,Workday,Medium,Med,Modern,210767,7.1
Trance,Danny Boyle,2013-07-18,Thursday,Workday,Medium,Med,Modern,98556,7
Life of Pi,Ang Lee,2013-04-15,Monday,Workday,Long,Med,Modern,479434,7.9
Argo,Ben Affleck,2013-01-17,Thursday,Workday,Medium,Med,Modern,488234,7.7
American Gangster,Ridley Scott,2013-01-03,Thursday,Workday,Long,Med,Modern,341363,7.8
Moonrise Kingdom,Wes Anderson,2013-01-02,Wednesday,Workday,Medium,Med,Modern,259044,7.8
John Dies at the End,Don Coscarelli,2012-12-31,Monday,Workday,Medium,Low,Modern,31986,6.4
Killing Them Softly,Andrew Dominik,2012-12-30,Sunday,Weekend,Medium,Med,Modern,117294,6.2
Nine Queens,Fabian Bielinsky,2012-12-28,Friday,Workday,Medium,High,Old,41327,7.9
Tinker Tailor Soldier Spy,Tomas Alfredson,2012-12-28,Friday,Workday,Long,Med,Modern,159271,7.1
The Insider,Michael Mann,2012-12-26,Wednesday,Workday,Long,Med,Old,140360,7.9
Insomnia,Christopher Nolan,2012-12-25,Tuesday,Workday,Medium,Med,Modern,234192,7.2
Never Let Me Go,Mark Romanek,2012-12-25,Tuesday,Workday,Medium,Med,Modern,118036,7.2
Cloud Atlas,"Tom Tykwer, Lana Wachowski",2012-11-06,Tuesday,Workday,Long,Med,Modern,302824,7.5
Looper,Rian Johnson,2012-11-03,Saturday,Weekend,Medium,Med,Modern,458860,7.4
Real Steel,Shawn Levy,2012-09-19,Wednesday,Workday,Long,Med,Modern,267181,7.1
Spider-Man,Sam Raimi,2012-09-04,Tuesday,Workday,Long,Med,Modern,584183,7.3
Spider-Man 3,Sam Raimi,2012-09-04,Tuesday,Workday,Long,Med,Modern,414520,6.2
Spider-Man 2,Sam Raimi,2012-09-04,Tuesday,Workday,Long,Med,Modern,448842,7.3
Equilibrium,Kurt Wimmer,2012-08-30,Thursday,Workday,Medium,Med,Modern,276022,7.5
Elite Squad,José Padilha,2012-08-23,Thursday,Workday,Medium,Med,Modern,86322,8.1
Taken,Pierre Morel,2012-08-22,Wednesday,Workday,Medium,Med,Modern,507399,7.8
The Sixth Sense,M. Night Shyamalan,2012-08-21,Tuesday,Workday,Medium,Med,Old,761020,8.1
Headhunters,Morten Tyldum,2012-08-21,Tuesday,Workday,Medium,Med,Modern,84679,7.6
Jacob's Ladder,Adrian Lyne,2012-08-21,Tuesday,Workday,Medium,Med,Old,81383,7.5
13 Assassins,Takashi Miike,2012-08-15,Wednesday,Workday,Long,Med,Modern,53790,7.6
State of Play,Kevin Macdonald,2012-08-15,Wednesday,Workday,Long,Med,Modern,118418,7.1
Fracture,Gregory Hoblit,2012-08-15,Wednesday,Workday,Medium,Med,Modern,151279,7.2
Special,"Hal Haberman, Jeremy Passmore",2012-08-13,Monday,Workday,Short,Med,Modern,4974,6.9
Ghost Dog: The Way of the Samurai,Jim Jarmusch,2012-08-13,Monday,Workday,Medium,Med,Old,74323,7.5
Superbad,Greg Mottola,2012-08-13,Monday,Workday,Medium,Med,Modern,448078,7.6
The Avengers,Joss Whedon,2012-08-13,Monday,Workday,Long,Med,Modern,1059165,8.1
American Psycho,Mary Harron,2012-08-13,Monday,Workday,Medium,Med,Old,387884,7.6
Aliens,James Cameron,2012-08-13,Monday,Workday,Long,Med,Old,535817,8.4
Back to the Future,Robert Zemeckis,2012-08-13,Monday,Workday,Medium,Low,Old,809334,8.5
Taxi Driver,Martin Scorsese,2012-08-13,Monday,Workday,Medium,Med,Retro,558006,8.3
Thor,Kenneth Branagh,2012-08-13,Monday,Workday,Medium,Low,Modern,581583,7
Drive,Nicolas Winding Refn,2012-08-13,Monday,Workday,Medium,High,Modern,469070,7.8
The Social Network,David Fincher,2012-08-13,Monday,Workday,Medium,Med,Modern,518139,7.7
Lost in Translation,Sofia Coppola,2012-08-13,Monday,Workday,Medium,Med,Modern,342831,7.8
The Beach,Danny Boyle,2012-08-13,Monday,Workday,Medium,Med,Old,190008,6.6
Identity,James Mangold,2012-08-13,Monday,Workday,Short,Med,Modern,190692,7.3
Lord of War,Andrew Niccol,2012-08-13,Monday,Workday,Long,Med,Modern,260407,7.6
WALL·E,Andrew Stanton,2012-08-13,Monday,Workday,Medium,Med,Modern,792753,8.4
Red Dragon,Brett Ratner,2012-08-13,Monday,Workday,Long,Med,Modern,214762,7.2
The Girl with the Dragon Tattoo,Niels Arden Oplev,2012-08-13,Monday,Workday,Long,High,Modern,184048,7.8
Winter's Bone,Debra Granik,2012-08-13,Monday,Workday,Medium,Low,Modern,117827,7.2
Up in the Air,Jason Reitman,2012-08-13,Monday,Workday,Medium,Med,Modern,282170,7.4
Blood Diamond,Edward Zwick,2012-08-13,Monday,Workday,Long,Med,Modern,427412,8
Perfume: The Story of a Murderer,Tom Tykwer,2012-08-13,Monday,Workday,Long,Med,Modern,201810,7.5
Panic Room,David Fincher,2012-08-13,Monday,Workday,Medium,Med,Modern,219325,6.8
Following,Christopher Nolan,2012-08-13,Monday,Workday,Short,Med,Old,71436,7.6
Bruce Almighty,Tom Shadyac,2012-08-13,Monday,Workday,Medium,Med,Modern,317349,6.7
Mr. Brooks,Bruce A. Evans,2012-08-13,Monday,Workday,Medium,Med,Modern,129355,7.3
Hereafter,Clint Eastwood,2012-08-11,Saturday,Weekend,Long,Med,Modern,83089,6.5
Interview with the Vampire: The Vampire Chronicles,Neil Jordan,2012-08-11,Saturday,Weekend,Long,Med,Old,253654,7.6
Moneyball,Bennett Miller,2012-08-11,Saturday,Weekend,Long,Med,Modern,300864,7.6
Battle Royale,Kinji Fukasaku,2012-08-11,Saturday,Weekend,Medium,Med,Old,146919,7.7
The Dark Knight Rises,Christopher Nolan,2012-08-08,Wednesday,Workday,Long,Low,Modern,1244641,8.4
Ted,Seth MacFarlane,2012-08-08,Wednesday,Workday,Medium,High,Modern,500745,7
No Man's Land,Danis Tanovic,2012-07-31,Tuesday,Workday,Medium,Med,Modern,39479,8
The Truman Show,Peter Weir,2012-07-30,Monday,Workday,Medium,High,Old,734182,8.1
Dead Poets Society,Peter Weir,2012-07-30,Monday,Workday,Long,Med,Old,298471,8
God Bless America,Bobcat Goldthwait,2012-07-29,Sunday,Weekend,Medium,High,Modern,62946,7.2
The Lincoln Lawyer,Brad Furman,2012-07-29,Sunday,Weekend,Medium,High,Modern,183729,7.3
Edge of Darkness,Martin Campbell,2012-07-28,Saturday,Weekend,Medium,Med,Modern,79363,6.6
La Haine,Mathieu Kassovitz,2012-07-22,Sunday,Weekend,Medium,High,Old,114267,8.1
Melancholia,Lars von Trier,2012-07-22,Sunday,Weekend,Long,Med,Modern,139186,7.1
Monsters,Gareth Edwards,2012-07-22,Sunday,Weekend,Medium,Med,Modern,79964,6.4
Primer,Shane Carruth,2012-07-22,Sunday,Weekend,Short,Med,Modern,80714,6.9
The Rum Diary,Bruce Robinson,2012-07-05,Thursday,Workday,Medium,High,Modern,90259,6.2
The Fall,Tarsem,2012-07-05,Thursday,Workday,Medium,Med,Modern,94293,7.9
The Limey,Steven Soderbergh,2012-06-11,Monday,Workday,Short,Med,Old,25734,7.1
Prometheus,Ridley Scott,2012-06-09,Saturday,Weekend,Long,Med,Modern,498984,7
The Time Traveler's Wife,Robert Schwentke,2012-05-21,Monday,Workday,Medium,Med,Modern,122209,7.1
Harry Potter and the Sorcerer's Stone,Chris Columbus,2012-05-21,Monday,Workday,Long,Low,Modern,494135,7.5
The Godfather,Francis Ford Coppola,2012-05-21,Monday,Workday,Long,High,Retro,1260583,9.2
The Lord of the Rings: The Fellowship of the Ring,Peter Jackson,2012-05-21,Monday,Workday,Long,Low,Modern,1342881,8.8
Good Will Hunting,Gus Van Sant,2012-05-21,Monday,Workday,Long,High,Old,669247,8.3
The Godfather: Part II,Francis Ford Coppola,2012-05-21,Monday,Workday,Long,High,Retro,868375,9
Ocean's Eleven,Steven Soderbergh,2012-05-21,Monday,Workday,Medium,Med,Modern,431767,7.8
Men in Black,Barry Sonnenfeld,2012-05-21,Monday,Workday,Medium,Low,Old,435383,7.3
The Godfather: Part III,Francis Ford Coppola,2012-05-21,Monday,Workday,Long,High,Old,293249,7.6
A.I. Artificial Intelligence,Steven Spielberg,2012-05-21,Monday,Workday,Long,High,Modern,253932,7.1
Atlantis: The Lost Empire,"Gary Trousdale, Kirk Wise",2012-05-21,Monday,Workday,Medium,Low,Modern,80134,6.8
Ocean's Twelve,Steven Soderbergh,2012-05-21,Monday,Workday,Long,Med,Modern,304083,6.5
Men in Black II,Barry Sonnenfeld,2012-05-21,Monday,Workday,Short,Low,Modern,283084,6.1
John Carter,Andrew Stanton,2012-05-20,Sunday,Weekend,Long,Med,Modern,223191,6.6
Soul Kitchen,Fatih Akin,2012-05-13,Sunday,Weekend,Medium,High,Modern,31032,7.3
One Hour Photo,Mark Romanek,2012-04-21,Saturday,Weekend,Medium,Med,Modern,102000,6.8
The Hunger Games,Gary Ross,2012-04-01,Sunday,Weekend,Long,Med,Modern,744356,7.2
A Prophet,Jacques Audiard,2012-03-27,Tuesday,Workday,Long,High,Modern,82622,7.9
Premonition,Mennan Yapo,2012-03-12,Monday,Workday,Medium,Med,Modern,65067,5.9
2046,Kar Wai Wong,2012-03-11,Sunday,Weekend,Long,Med,Modern,43796,7.5
Submarine,Richard Ayoade,2012-03-11,Sunday,Weekend,Medium,Med,Modern,72338,7.3
In Time,Andrew Niccol,2012-01-19,Thursday,Workday,Medium,Med,Modern,322883,6.7
The Skin I Live In,Pedro Almodóvar,2012-01-03,Tuesday,Workday,Medium,High,Modern,111075,7.6
Contagion,Steven Soderbergh,2011-12-19,Monday,Workday,Medium,Low,Modern,188885,6.6
Knowing,Alex Proyas,2011-12-04,Sunday,Weekend,Long,Med,Modern,196292,6.2
Barton Fink,Joel Coen,2011-09-23,Friday,Workday,Medium,Med,Old,95327,7.7
Caché,Michael Haneke,2011-08-25,Thursday,Workday,Medium,Med,Modern,58414,7.3
Breach,Billy Ray,2011-08-25,Thursday,Workday,Medium,Med,Modern,53637,7
Mindhunters,Renny Harlin,2011-08-25,Thursday,Workday,Medium,Med,Modern,51664,6.4
The Ghost Writer,Roman Polanski,2011-08-24,Wednesday,Workday,Long,Med,Modern,139439,7.2
Hanna,Joe Wright,2011-07-30,Saturday,Weekend,Medium,Low,Modern,165801,6.8
Gone Baby Gone,Ben Affleck,2011-07-09,Saturday,Weekend,Medium,Med,Modern,210807,7.7
Phone Booth,Joel Schumacher,2011-07-09,Saturday,Weekend,Short,Med,Modern,220578,7.1
Berlin Calling,Hannes Stöhr,2011-06-14,Tuesday,Workday,Medium,Med,Modern,10901,7.3
The Reader,Stephen Daldry,2011-06-14,Tuesday,Workday,Long,Med,Modern,201110,7.6
The Lives of Others,Florian Henckel von Donnersmarck,2011-06-11,Saturday,Weekend,Long,Med,Modern,283322,8.5
Deep End,Jerzy Skolimowski,2011-06-04,Saturday,Weekend,Medium,Med,Retro,3882,7.3
Scott Pilgrim vs. the World,Edgar Wright,2011-05-30,Monday,Workday,Medium,Med,Modern,299011,7.5
Unknown,Jaume Collet-Serra,2011-05-26,Thursday,Workday,Medium,Med,Modern,220675,6.9
Limitless,Neil Burger,2011-05-22,Sunday,Weekend,Medium,Med,Modern,451370,7.4
Source Code,Duncan Jones,2011-05-14,Saturday,Weekend,Medium,Med,Modern,411624,7.5
Four Lions,Chris Morris,2011-04-15,Friday,Workday,Medium,High,Modern,60822,7.3
The City of Lost Children,"Marc Caro, Jean-Pierre Jeunet",2011-04-10,Sunday,Weekend,Medium,Med,Old,58187,7.7
The Adventures of Baron Munchausen,Terry Gilliam,2011-04-10,Sunday,Weekend,Long,Med,Old,43638,7.2
Paranoid Park,Gus Van Sant,2011-03-18,Friday,Workday,Short,Med,Modern,26172,6.7
Class Trip,Claude Miller,2011-03-18,Friday,Workday,Medium,Low,Old,1263,7
The Man Who Wasn't There,Joel Coen,2011-03-17,Thursday,Workday,Medium,Med,Modern,90295,7.6
Enter the Void,Gaspar Noé,2011-03-14,Monday,Workday,Long,Med,Modern,51349,7.3
Black Swan,Darren Aronofsky,2011-03-05,Saturday,Weekend,Medium,High,Modern,589488,8
The Next Three Days,Paul Haggis,2011-02-28,Monday,Workday,Long,Med,Modern,154588,7.4
Todo el poder,Fernando Sariñana,2011-02-21,Monday,Workday,Medium,Med,Old,849,6.7
Changing Lanes,Roger Michell,2011-02-06,Sunday,Weekend,Medium,Med,Modern,60151,6.5
City of Men,Paulo Morelli,2011-02-01,Tuesday,Workday,Medium,Med,Modern,13780,7.3
The Town,Ben Affleck,2011-02-01,Tuesday,Workday,Long,Med,Modern,298017,7.6
Ip Man,Wilson Yip,2011-01-24,Monday,Workday,Medium,Med,Modern,183635,8.1
Cleaner,Renny Harlin,2011-01-22,Saturday,Weekend,Short,Med,Modern,33931,6.1
Eternal Sunshine of the Spotless Mind,Michel Gondry,2011-01-20,Thursday,Workday,Medium,Med,Modern,730057,8.3
Buried,Rodrigo Cortés,2011-01-19,Wednesday,Workday,Medium,Med,Modern,126916,7
Inland Empire,David Lynch,2011-01-18,Tuesday,Workday,Long,High,Modern,45199,7
Gran Torino,Clint Eastwood,2011-01-16,Sunday,Weekend,Medium,Med,Modern,605220,8.2
El Topo,Alexandro Jodorowsky,2011-01-10,Monday,Workday,Long,Med,Retro,20137,7.5
Oxygen,Ivan Vyrypaev,2010-12-11,Saturday,Weekend,Short,Med,Modern,607,6.7
Coffee and Cigarettes,Jim Jarmusch,2010-11-17,Wednesday,Workday,Medium,Med,Modern,50395,7.1
Arizona Dream,Emir Kusturica,2010-11-12,Friday,Workday,Long,Med,Old,36054,7.4
Holes,Andrew Davis,2010-11-07,Sunday,Weekend,Medium,Med,Modern,62494,7.1
The American,Anton Corbijn,2010-11-07,Sunday,Weekend,Medium,Med,Modern,82682,6.3
Blood Work,Clint Eastwood,2010-11-02,Tuesday,Workday,Medium,Med,Modern,36328,6.4
The Class,Ilmar Raag,2010-09-24,Friday,Workday,Medium,High,Modern,12209,8
Matando Cabos,Alejandro Lozano,2010-09-19,Sunday,Weekend,Medium,Med,Modern,3771,7.6
Y Tu Mamá También,Alfonso Cuarón,2010-08-21,Saturday,Weekend,Medium,Med,Modern,97076,7.7
Mr. Nobody,Jaco Van Dormael,2010-07-28,Wednesday,Workday,Long,Med,Modern,171166,7.9
Inception,Christopher Nolan,2010-07-23,Friday,Workday,Long,Low,Modern,1615460,8.8
The Pledge,Sean Penn,2010-07-20,Tuesday,Workday,Long,Med,Modern,44916,6.8
Repo Men,Miguel Sapochnik,2010-07-19,Monday,Workday,Medium,Med,Modern,91219,6.3
After.Life,Agnieszka Wojtowicz-Vosloo,2010-07-19,Monday,Workday,Medium,Med,Modern,32455,5.9
Iron Man 2,Jon Favreau,2010-07-19,Monday,Workday,Long,Med,Modern,567330,7
Unknown,Simon Brand,2010-07-09,Friday,Workday,Short,Med,Modern,26879,6.5
The Method,Marcelo Piñeyro,2010-07-01,Thursday,Workday,Medium,Med,Modern,8641,7.3
Exam,Stuart Hazeldine,2010-06-28,Monday,Workday,Medium,Med,Modern,81490,6.9
Eastern Promises,David Cronenberg,2010-06-28,Monday,Workday,Medium,Med,Modern,200387,7.7
Timecrimes,Nacho Vigalondo,2010-06-27,Sunday,Weekend,Medium,Med,Modern,46118,7.2
Flightplan,Robert Schwentke,2010-06-25,Friday,Workday,Medium,Med,Modern,133496,6.2
Catch Me If You Can,Steven Spielberg,2010-06-18,Friday,Workday,Long,High,Modern,603799,8.1
Unthinkable,Gregor Jordan,2010-06-16,Wednesday,Workday,Medium,Med,Modern,75953,7.1
Body Double,Brian De Palma,2010-06-13,Sunday,Weekend,Medium,Med,Old,22266,6.8
Broken Embraces,Pedro Almodóvar,2010-06-10,Thursday,Workday,Long,Med,Modern,33206,7.2
I Love You Phillip Morris,"Glenn Ficarra, John Requa",2010-06-09,Wednesday,Workday,Medium,High,Modern,82069,6.6
Ong-Bak: The Thai Warrior,Prachya Pinkaew,2010-06-06,Sunday,Weekend,Medium,Med,Modern,63616,7.2
Cloverfield,Matt Reeves,2010-06-06,Sunday,Weekend,Short,Med,Modern,317938,7
Brick,Rian Johnson,2010-05-30,Sunday,Weekend,Medium,High,Modern,88924,7.4
Hot Fuzz,Edgar Wright,2010-05-30,Sunday,Weekend,Long,Med,Modern,381997,7.9
Dark City,Alex Proyas,2010-05-26,Wednesday,Workday,Medium,High,Old,165837,7.7
Burn After Reading,"Ethan Coen, Joel Coen",2010-05-24,Monday,Workday,Medium,Med,Modern,263280,7
Robin Hood,Ridley Scott,2010-05-23,Sunday,Weekend,Long,Med,Modern,223463,6.7
The Road,John Hillcoat,2010-05-23,Sunday,Weekend,Medium,Med,Modern,189931,7.3
The Lookout,Scott Frank,2010-05-20,Thursday,Workday,Medium,Med,Modern,52583,7.1
The Wrestler,Darren Aronofsky,2010-05-19,Wednesday,Workday,Medium,Med,Modern,261846,7.9
Kick-Ass,Matthew Vaughn,2010-05-14,Friday,Workday,Medium,Med,Modern,463004,7.7
The Secret in Their Eyes,Juan José Campanella,2010-05-10,Monday,Workday,Long,High,Modern,148024,8.2
Agora,Alejandro Amenábar,2010-05-09,Sunday,Weekend,Long,Med,Modern,56481,7.2
The Holy Mountain,Alexandro Jodorowsky,2010-05-09,Sunday,Weekend,Medium,Med,Retro,26391,7.9
Mission London,Dimitar Mitovski,2010-05-01,Saturday,Weekend,Medium,Med,Modern,5591,7.5
Bitter Moon,Roman Polanski,2010-05-01,Saturday,Weekend,Long,Med,Old,27773,7.2
"Blood In, Blood Out",Taylor Hackford,2010-05-01,Saturday,Weekend,Long,High,Old,24526,8
Wonderland,James Cox,2010-04-27,Tuesday,Workday,Medium,Med,Modern,19358,6.6
Sin Nombre,Cary Jôji Fukunaga,2010-04-23,Friday,Workday,Medium,Med,Modern,27401,7.6
Kiss Kiss Bang Bang,Shane Black,2010-04-23,Friday,Workday,Medium,Med,Modern,187254,7.6
SLC Punk!,James Merendino,2010-04-13,Tuesday,Workday,Medium,Med,Old,23192,7.5
The Salton Sea,D.J. Caruso,2010-04-11,Sunday,Weekend,Medium,High,Modern,27467,7.2
The Boondock Saints II: All Saints Day,Troy Duffy,2010-03-30,Tuesday,Workday,Medium,Med,Modern,55634,6.3
Shutter Island,Martin Scorsese,2010-03-16,Tuesday,Workday,Long,High,Modern,874940,8.1
The Walker,Paul Schrader,2010-03-14,Sunday,Weekend,Medium,Med,Modern,4782,5.9
Transsiberian,Brad Anderson,2010-03-14,Sunday,Weekend,Medium,Med,Modern,44720,6.7
"Good Night, and Good Luck.",George Clooney,2010-03-14,Sunday,Weekend,Medium,Med,Modern,86629,7.5
Rockers,Theodoros Bafaloukos,2010-03-06,Saturday,Weekend,Medium,Med,Retro,1417,7.7
Clockers,Spike Lee,2010-03-06,Saturday,Weekend,Long,Med,Old,17549,6.9
Harry Brown,Daniel Barber,2010-03-06,Saturday,Weekend,Medium,Med,Modern,77072,7.2
Fubar,Michael Dowse,2010-03-02,Tuesday,Workday,Short,High,Modern,3609,7.1
In the Loop,Armando Iannucci,2010-02-28,Sunday,Weekend,Medium,Med,Modern,46792,7.5
A Serious Man,"Ethan Coen, Joel Coen",2010-02-21,Sunday,Weekend,Medium,Med,Modern,109540,7
The Hurt Locker,Kathryn Bigelow,2010-02-21,Sunday,Weekend,Long,Med,Modern,357086,7.6
Valentine's Day,Garry Marshall,2010-02-17,Wednesday,Workday,Long,Med,Modern,100179,5.7
Powder Blue,Timothy Linh Bui,2010-02-07,Sunday,Weekend,Medium,Med,Modern,12787,6.3
The Men Who Stare at Goats,Grant Heslov,2010-02-07,Sunday,Weekend,Medium,Med,Modern,114158,6.2
Lady Vengeance,Park Chan Wook,2010-02-07,Sunday,Weekend,Medium,Med,Modern,58210,7.6
The Darwin Awards,Finn Taylor,2010-01-30,Saturday,Weekend,Medium,High,Modern,9008,6
Gosford Park,Robert Altman,2010-01-25,Monday,Workday,Long,Med,Modern,68201,7.3
Sherlock Holmes,Guy Ritchie,2010-01-25,Monday,Workday,Long,Med,Modern,508452,7.6
The Illusionist,Neil Burger,2010-01-25,Monday,Workday,Medium,Med,Modern,313997,7.6
The Imaginarium of Doctor Parnassus,Terry Gilliam,2010-01-18,Monday,Workday,Long,Med,Modern,131260,6.8
The Three Burials of Melquiades Estrada,Tommy Lee Jones,2010-01-17,Sunday,Weekend,Long,Med,Modern,35348,7.4
In the Valley of Elah,Paul Haggis,2010-01-17,Sunday,Weekend,Long,Med,Modern,62624,7.2
Babel,Alejandro González Iñárritu,2010-01-17,Sunday,Weekend,Long,Med,Modern,256089,7.5
Sympathy for Mr. Vengeance,Chan-wook Park,2010-01-12,Tuesday,Workday,Long,High,Modern,50188,7.7
Let the Right One In,Tomas Alfredson,2010-01-10,Sunday,Weekend,Medium,Med,Modern,182437,7.9
8½,Federico Fellini,2010-01-05,Tuesday,Workday,Long,Med,Retro,86020,8.1
Thirst,Chan-wook Park,2010-01-04,Monday,Workday,Long,Med,Modern,33671,7.2
Up,"Pete Docter, Bob Peterson",2010-01-01,Friday,Workday,Medium,Med,Modern,737118,8.3
Adaptation.,Spike Jonze,2009-12-28,Monday,Workday,Medium,Med,Modern,152520,7.7
Confessions of a Dangerous Mind,George Clooney,2009-12-27,Sunday,Weekend,Medium,High,Modern,74397,7.1
Avatar,James Cameron,2009-12-22,Tuesday,Workday,Long,High,Modern,948198,7.8
Dirty Pretty Things,Stephen Frears,2009-12-21,Monday,Workday,Medium,High,Modern,36459,7.4
Boy A,John Crowley,2009-12-09,Wednesday,Workday,Medium,High,Modern,34318,7.7
Stardust,Matthew Vaughn,2009-12-06,Sunday,Weekend,Long,High,Modern,222934,7.7
Law Abiding Citizen,F. Gary Gray,2009-12-06,Sunday,Weekend,Medium,Med,Modern,231038,7.4
U Turn,Oliver Stone,2009-11-29,Sunday,Weekend,Long,High,Old,43963,6.8
Pandorum,Christian Alvart,2009-11-14,Saturday,Weekend,Medium,Med,Modern,128250,6.8
Mary and Max,Adam Elliot,2009-11-08,Sunday,Weekend,Medium,High,Modern,131635,8.2
Moon,Duncan Jones,2009-10-30,Friday,Workday,Medium,High,Modern,281547,7.9
Slumdog Millionaire,"Danny Boyle, Loveleen Tandan",2009-10-22,Thursday,Workday,Medium,High,Modern,686038,8
The Tournament,Scott Mann,2009-10-18,Sunday,Weekend,Medium,Med,Modern,31749,6.1
Eight Below,Frank Marshall,2009-10-03,Saturday,Weekend,Medium,High,Modern,52021,7.3
Inglourious Basterds,Quentin Tarantino,2009-10-02,Friday,Workday,Long,High,Modern,979724,8.3
The Proposal,Anne Fletcher,2009-09-30,Wednesday,Workday,Medium,Med,Modern,245697,6.7
District 9,Neill Blomkamp,2009-09-24,Thursday,Workday,Medium,Med,Modern,563740,8
The Talented Mr. Ripley,Anthony Minghella,2009-09-13,Sunday,Weekend,Long,Med,Old,147620,7.3
Man on Fire,Tony Scott,2009-09-06,Sunday,Weekend,Long,Med,Modern,283385,7.7
Surveillance,Jennifer Lynch,2009-07-25,Saturday,Weekend,Medium,Med,Modern,15399,6.4
The Brothers Grimm,Terry Gilliam,2009-07-04,Saturday,Weekend,Medium,Med,Modern,103297,5.9
Vanilla Sky,Cameron Crowe,2009-06-30,Tuesday,Workday,Long,High,Modern,217224,6.9
Disturbia,D.J. Caruso,2009-05-24,Sunday,Weekend,Medium,Med,Modern,195447,6.9
Rumor Has It...,Rob Reiner,2009-05-16,Saturday,Weekend,Medium,Med,Modern,43609,5.5
Gattaca,Andrew Niccol,2009-05-14,Thursday,Workday,Medium,High,Old,236404,7.8
Choke,Clark Gregg,2009-05-03,Sunday,Weekend,Medium,Med,Modern,29387,6.5
The Curious Case of Benjamin Button,David Fincher,2009-05-02,Saturday,Weekend,Long,Med,Modern,492586,7.8
The Assassination of Jesse James by the Coward Robert Ford,Andrew Dominik,2009-04-20,Monday,Workday,Long,High,Modern,145577,7.5
"South Park: Bigger, Longer & Uncut",Trey Parker,2009-03-27,Friday,Workday,Short,Med,Old,170582,7.8
Persepolis,"Vincent Paronnaud, Marjane Satrapi",2009-03-24,Tuesday,Workday,Medium,Med,Modern,75345,8.1
[Rec],"Jaume Balagueró, Paco Plaza",2009-03-15,Sunday,Weekend,Short,Low,Modern,140262,7.5
Watchmen,Zack Snyder,2009-03-07,Saturday,Weekend,Long,High,Modern,416326,7.6
A Very Long Engagement,Jean-Pierre Jeunet,2009-02-14,Saturday,Weekend,Long,Med,Modern,65076,7.7
Seven Pounds,Gabriele Muccino,2009-01-28,Wednesday,Workday,Long,Med,Modern,248359,7.7
RocknRolla,Guy Ritchie,2009-01-24,Saturday,Weekend,Medium,High,Modern,205723,7.3
Chain of Fools,"Traktor, Traktor",2008-12-25,Thursday,Workday,Medium,High,Old,3559,6.2
Chaos Theory,Marcos Siega,2008-12-25,Thursday,Workday,Short,Med,Modern,28868,6.7
Human Traffic,Justin Kerrigan,2008-12-24,Wednesday,Workday,Medium,High,Old,20212,7.1
Cashback,Sean Ellis,2008-12-03,Wednesday,Workday,Medium,High,Modern,75855,7.2
Max Payne,John Moore,2008-11-16,Sunday,Weekend,Medium,High,Modern,111783,5.4
Pineapple Express,David Gordon Green,2008-11-07,Friday,Workday,Medium,Med,Modern,271325,7
Zift,Javor Gardev,2008-10-05,Sunday,Weekend,Medium,High,Modern,4190,7.4
Righteous Kill,Jon Avnet,2008-10-05,Sunday,Weekend,Medium,Med,Modern,76231,6
Kung Fu Panda,"Mark Osborne, John Stevenson",2008-08-04,Monday,Workday,Medium,High,Modern,336233,7.6
The Dark Knight,Christopher Nolan,2008-07-27,Sunday,Weekend,Long,Med,Modern,1825400,9
Batman Begins,Christopher Nolan,2008-07-27,Sunday,Weekend,Long,Med,Modern,1067922,8.3
3:10 to Yuma,James Mangold,2008-07-27,Sunday,Weekend,Long,High,Modern,251217,7.7
99 francs,Jan Kounen,2008-06-15,Sunday,Weekend,Medium,High,Modern,16310,7.3
In Bruges,Martin McDonagh,2008-06-15,Sunday,Weekend,Medium,High,Modern,326177,7.9
The Oxford Murders,Alex de la Iglesia,2008-06-11,Wednesday,Workday,Medium,Low,Modern,24122,6.1
Street Kings,David Ayer,2008-06-11,Wednesday,Workday,Medium,Med,Modern,98118,6.8
