Title,Directors,vote_date,day_of_week,weekend,duration,ratings,movie_period,num_votes,imdb_rating
Son of Saul,Nemes László,2016-03-28,Monday,Workday,Medium,High,Modern,31767,7.5
Dawn of the Planet of the Apes,Matt Reeves,2016-03-27,Sunday,Weekend,Long,Med,Modern,351829,7.6
Spotlight,Tom McCarthy,2016-01-21,Thursday,Workday,Long,Med,Modern,281529,8.1
The Big Short,Adam McKay,2016-01-19,Tuesday,Workday,Long,Med,Modern,256144,7.8
Bridge of Spies,Steven Spielberg,2016-01-17,Sunday,Weekend,Long,Med,Modern,225014,7.6
The Hateful Eight,Quentin Tarantino,2016-01-16,Saturday,Weekend,Long,High,Modern,353971,7.8
The Revenant,Alejandro G. Iñárritu,2016-01-09,Saturday,Weekend,Long,Med,Modern,515534,8
Extremely Loud & Incredibly Close,Stephen Daldry,2016-01-05,Tuesday,Workday,Long,Low,Modern,87003,6.9
Safe House,Daniel Espinosa,2015-12-29,Tuesday,Workday,Medium,Med,Modern,176655,6.8
It Follows,David Robert Mitchell,2015-12-28,Monday,Workday,Medium,Low,Modern,143710,6.9
True Story,Rupert Goold,2015-12-28,Monday,Workday,Medium,Low,Modern,43531,6.3
Tomorrowland,Brad Bird,2015-12-28,Monday,Workday,Long,Low,Modern,146128,6.5
The Gift,Joel Edgerton,2015-12-28,Monday,Workday,Medium,Med,Modern,101585,7.1
Secret in Their Eyes,Billy Ray,2015-12-28,Monday,Workday,Medium,Med,Modern,28711,6.2
Sunshine,Danny Boyle,2015-12-27,Sunday,Weekend,Medium,Med,Modern,202848,7.3
The Abyss,James Cameron,2015-12-27,Sunday,Weekend,Long,High,Old,139495,7.6
Character,Mike van Diem,2015-12-25,Friday,Workday,Long,Med,Old,9475,7.8
Nothing But the Truth,Rod Lurie,2015-12-25,Friday,Workday,Medium,Med,Modern,32140,7.2
Zero. Lilac Lithuania,Emilis Velyvis,2015-12-25,Friday,Workday,Short,Med,Modern,1936,7.7
Eagle Eye,D.J. Caruso,2015-12-25,Friday,Workday,Medium,Med,Modern,157699,6.6
Upstream Color,Shane Carruth,2015-12-25,Friday,Workday,Medium,Med,Modern,25465,6.7
Surrogates,Jonathan Mostow,2015-12-25,Friday,Workday,Short,Med,Modern,156593,6.3
Black Mass,Scott Cooper,2015-12-25,Friday,Workday,Long,Low,Modern,138837,6.9
Avengers: Age of Ultron,Joss Whedon,2015-12-14,Monday,Workday,Long,Med,Modern,531814,7.4
Rise of the Planet of the Apes,Rupert Wyatt,2015-12-14,Monday,Workday,Medium,Med,Modern,436110,7.6
Mission: Impossible - Rogue Nation,Christopher McQuarrie,2015-12-14,Monday,Workday,Long,Med,Modern,263212,7.4
Self/less,Tarsem Singh,2015-12-14,Monday,Workday,Medium,Med,Modern,69378,6.5
Everest,Baltasar Kormákur,2015-12-14,Monday,Workday,Long,Med,Modern,158775,7.1
The Walk,Robert Zemeckis,2015-12-14,Monday,Workday,Long,Med,Modern,95554,7.3
The Man from U.N.C.L.E.,Guy Ritchie,2015-12-06,Sunday,Weekend,Medium,Med,Modern,209729,7.3
Mad Max: Fury Road,George Miller,2015-11-26,Thursday,Workday,Medium,Med,Modern,653132,8.1
The Martian,Ridley Scott,2015-11-26,Thursday,Workday,Long,Med,Modern,572382,8
Jurassic World,Colin Trevorrow,2015-11-21,Saturday,Weekend,Long,Med,Modern,465277,7
Mr. Holmes,Bill Condon,2015-07-20,Monday,Workday,Medium,Low,Modern,50711,6.9
Croupier,Mike Hodges,2015-07-14,Tuesday,Workday,Medium,High,Old,16495,7.2
The Last Samurai,Edward Zwick,2015-07-13,Monday,Workday,Long,Med,Modern,338148,7.7
The Guard,John Michael McDonagh,2015-07-11,Saturday,Weekend,Medium,Med,Modern,68983,7.3
The Master,Paul Thomas Anderson,2015-07-11,Saturday,Weekend,Long,Low,Modern,115044,7.1
Punch-Drunk Love,Paul Thomas Anderson,2015-07-10,Friday,Workday,Medium,Low,Modern,117946,7.3
Wonder Boys,Curtis Hanson,2015-07-06,Monday,Workday,Medium,Med,Old,56440,7.4
The Cabin in the Woods,Drew Goddard,2015-07-05,Sunday,Weekend,Medium,Low,Modern,301301,7
"Synecdoche, New York",Charlie Kaufman,2015-07-04,Saturday,Weekend,Long,High,Modern,62785,7.5
The Aura,Fabián Bielinsky,2015-06-01,Monday,Workday,Long,Med,Modern,11365,7.3
The Secret of Kells,"Tomm Moore, Nora Twomey",2015-06-01,Monday,Workday,Short,Med,Modern,25180,7.7
Sound of My Voice,Zal Batmanglij,2015-05-02,Saturday,Weekend,Short,Low,Modern,17633,6.7
Song of the Sea,Tomm Moore,2015-04-28,Tuesday,Workday,Medium,Med,Modern,34559,8.1
Ex Machina,Alex Garland,2015-04-19,Sunday,Weekend,Medium,Low,Modern,350585,7.7
How to Train Your Dragon 2,Dean DeBlois,2015-04-19,Sunday,Weekend,Medium,Med,Modern,241800,7.8
Blue Ruin,Jeremy Saulnier,2015-04-18,Saturday,Weekend,Short,Med,Modern,50672,7.1
The Impossible,J.A. Bayona,2015-04-15,Wednesday,Workday,Medium,Med,Modern,159619,7.6
Time Lapse,Bradley King,2015-04-04,Saturday,Weekend,Medium,Med,Modern,32453,6.5
Wicker Park,Paul McGuigan,2015-04-04,Saturday,Weekend,Medium,Med,Modern,47120,7
Changeling,Clint Eastwood,2015-04-04,Saturday,Weekend,Long,Med,Modern,208865,7.8
The Guest,Adam Wingard,2015-03-30,Monday,Workday,Medium,Low,Modern,72802,6.7
"I, Robot",Alex Proyas,2015-03-30,Monday,Workday,Medium,Med,Modern,420007,7.1
The Raid: Redemption,Gareth Huw Evans,2015-03-22,Sunday,Weekend,Medium,Low,Modern,159823,7.6
Exodus: Gods and Kings,Ridley Scott,2015-03-18,Wednesday,Workday,Long,Low,Modern,139268,6
Chronicle,Josh Trank,2015-03-18,Wednesday,Workday,Short,Med,Modern,215590,7.1
Elysium,Neill Blomkamp,2015-03-17,Tuesday,Workday,Medium,Med,Modern,364540,6.6
Chappie,Neill Blomkamp,2015-03-17,Tuesday,Workday,Medium,High,Modern,193038,6.9
The Signal,William Eubank,2015-03-15,Sunday,Weekend,Medium,Low,Modern,52871,6.1
The Giver,Phillip Noyce,2015-03-15,Sunday,Weekend,Medium,Med,Modern,95409,6.5
Unbroken,Angelina Jolie,2015-03-02,Monday,Workday,Long,Med,Modern,116532,7.2
Fifty Shades of Grey,Sam Taylor-Johnson,2015-03-01,Sunday,Weekend,Long,Low,Modern,248300,4.1
Pacific Rim,Guillermo del Toro,2015-02-21,Saturday,Weekend,Long,Low,Modern,405412,7
In Your Eyes,Brin Hill,2015-02-15,Sunday,Weekend,Medium,Med,Modern,25681,7.1
Coherence,James Ward Byrkit,2015-02-10,Tuesday,Workday,Short,Med,Modern,69639,7.2
Marshland,Alberto Rodríguez,2015-02-04,Wednesday,Workday,Medium,Med,Modern,20371,7.3
Triangle,Christopher Smith,2015-01-27,Tuesday,Workday,Medium,Med,Modern,74974,6.9
I Origins,Mike Cahill,2015-01-25,Sunday,Weekend,Medium,Med,Modern,88977,7.3
American Sniper,Clint Eastwood,2015-01-22,Thursday,Workday,Long,Med,Modern,360172,7.3
A Most Violent Year,J.C. Chandor,2015-01-22,Thursday,Workday,Long,Low,Modern,52088,7
Birdman or (The Unexpected Virtue of Ignorance),Alejandro G. Iñárritu,2015-01-16,Friday,Workday,Medium,High,Modern,450573,7.8
Whiplash,Damien Chazelle,2015-01-10,Saturday,Weekend,Medium,High,Modern,495578,8.5
What We Do in the Shadows,"Jemaine Clement, Taika Waititi",2015-01-02,Friday,Workday,Short,Med,Modern,88855,7.6
Foxcatcher,Bennett Miller,2014-12-31,Wednesday,Workday,Long,Med,Modern,116315,7
The Hobbit: The Battle of the Five Armies,Peter Jackson,2014-12-28,Sunday,Weekend,Long,Med,Modern,393686,7.4
The Hobbit: The Desolation of Smaug,Peter Jackson,2014-12-28,Sunday,Weekend,Long,Med,Modern,521521,7.9
The Drop,Michaël R. Roskam,2014-12-28,Sunday,Weekend,Medium,Med,Modern,118633,7.1
'71,Yann Demange,2014-12-26,Friday,Workday,Medium,Med,Modern,40528,7.2
The Interview,"Evan Goldberg, Seth Rogen",2014-12-26,Friday,Workday,Medium,Med,Modern,265315,6.6
The Maze Runner,Wes Ball,2014-12-24,Wednesday,Workday,Medium,Med,Modern,341821,6.8
John Wick,Chad Stahelski,2014-12-23,Tuesday,Workday,Medium,Low,Modern,348540,7.3
A History of Violence,David Cronenberg,2014-12-15,Monday,Workday,Medium,Med,Modern,197880,7.5
A Most Wanted Man,Anton Corbijn,2014-12-15,Monday,Workday,Long,Med,Modern,62240,6.8
Fury,David Ayer,2014-12-14,Sunday,Weekend,Long,Med,Modern,338773,7.6
Predestination,"The Spierig Brothers, The Spierig Brothers",2014-12-14,Sunday,Weekend,Medium,Med,Modern,193229,7.5
The Equalizer,Antoine Fuqua,2014-12-13,Saturday,Weekend,Long,Med,Modern,253163,7.2
Nightcrawler,Dan Gilroy,2014-12-07,Sunday,Weekend,Medium,Med,Modern,342598,7.9
The Theory of Everything,James Marsh,2014-12-04,Thursday,Workday,Long,Med,Modern,306537,7.7
Lee Daniels' The Butler,Lee Daniels,2014-11-23,Sunday,Weekend,Long,Med,Modern,94367,7.2
The Yellow Sea,Hong-jin Na,2014-11-16,Sunday,Weekend,Long,Med,Modern,13600,7.4
Interstellar,Christopher Nolan,2014-11-08,Saturday,Weekend,Long,High,Modern,1081417,8.6
Gone Girl,David Fincher,2014-10-15,Wednesday,Workday,Long,Med,Modern,652585,8.1
Philomena,Stephen Frears,2014-09-14,Sunday,Weekend,Medium,Med,Modern,82095,7.6
The Book Thief,Brian Percival,2014-09-14,Sunday,Weekend,Long,High,Modern,108169,7.6
300: Rise of an Empire,Noam Murro,2014-09-13,Saturday,Weekend,Medium,Med,Modern,241387,6.2
The Count of Monte Cristo,Kevin Reynolds,2014-09-02,Tuesday,Workday,Long,Med,Modern,111079,7.7
Mother,Joon Ho Bong,2014-08-31,Sunday,Weekend,Long,Med,Modern,31349,7.8
The Man from Nowhere,Jeong-beom Lee,2014-08-25,Monday,Workday,Medium,High,Modern,48317,7.8
The Chaser,Hong-jin Na,2014-08-25,Monday,Workday,Long,High,Modern,42003,7.9
The Red Violin,François Girard,2014-08-17,Sunday,Weekend,Long,Med,Old,28047,7.7
Memories of Murder,Joon Ho Bong,2014-08-17,Sunday,Weekend,Long,High,Modern,78953,8.1
Lone Star,John Sayles,2014-08-16,Saturday,Weekend,Long,High,Old,24372,7.5
Stranger Than Fiction,Marc Forster,2014-08-13,Wednesday,Workday,Medium,Med,Modern,195963,7.6
Appleseed Alpha,Shinji Aramaki,2014-07-22,Tuesday,Workday,Medium,Med,Modern,6857,6.6
The Zero Theorem,Terry Gilliam,2014-07-22,Tuesday,Workday,Medium,Med,Modern,38075,6.1
I'll Follow You Down,Richie Mehta,2014-07-20,Sunday,Weekend,Medium,Low,Modern,5379,6.1
Edge of Tomorrow,Doug Liman,2014-07-20,Sunday,Weekend,Medium,Med,Modern,482313,7.9
+1,Dennis Iliadis,2014-07-19,Saturday,Weekend,Medium,Med,Modern,6794,5.5
The Grand Budapest Hotel,Wes Anderson,2014-07-19,Saturday,Weekend,Medium,Med,Modern,543949,8.1
Primal Fear,Gregory Hoblit,2014-07-19,Saturday,Weekend,Long,High,Old,143495,7.7
The Body,Oriol Paulo,2014-07-17,Thursday,Workday,Medium,High,Modern,26486,7.6
Transcendence,Wally Pfister,2014-07-16,Wednesday,Workday,Medium,Low,Modern,187691,6.3
Defiance,Edward Zwick,2014-07-14,Monday,Workday,Long,Med,Modern,122923,7.2
Lantana,Ray Lawrence,2014-07-10,Thursday,Workday,Long,Med,Modern,17064,7.3
Man on a Ledge,Asger Leth,2014-06-30,Monday,Workday,Medium,Med,Modern,130351,6.6
Dredd,Pete Travis,2014-06-30,Monday,Workday,Medium,Med,Modern,216832,7.1
Enemy,Denis Villeneuve,2014-06-28,Saturday,Weekend,Medium,Med,Modern,115703,6.9
I Saw the Devil,Kim Jee-woon,2014-06-28,Saturday,Weekend,Long,High,Modern,80509,7.8
The Hidden Face,Andi Baiz,2014-06-28,Saturday,Weekend,Medium,Med,Modern,23331,7.4
In the House,François Ozon,2014-06-27,Friday,Workday,Medium,Med,Modern,24535,7.4
The Secret World of Arrietty,Hiromasa Yonebayashi,2014-06-26,Thursday,Workday,Medium,Med,Modern,59230,7.6
Misery,Rob Reiner,2014-06-26,Thursday,Workday,Medium,Med,Old,145246,7.8
Snowpiercer,Bong Joon Ho,2014-06-26,Thursday,Workday,Long,Med,Modern,205196,7
How to Train Your Dragon,"Dean DeBlois, Chris Sanders",2014-06-24,Tuesday,Workday,Medium,High,Modern,534033,8.1
It's Kind of a Funny Story,"Anna Boden, Ryan Fleck",2014-06-23,Monday,Workday,Medium,Med,Modern,115197,7.1
Frequency,Gregory Hoblit,2014-06-13,Friday,Workday,Medium,Med,Old,87315,7.4
Another Earth,Mike Cahill,2014-06-10,Tuesday,Workday,Medium,Med,Modern,78324,7
World War Z,Marc Forster,2014-06-04,Wednesday,Workday,Medium,Med,Modern,503543,7
The Matrix Reloaded,"The Wachowski Brothers, The Wachowski Brothers",2014-06-02,Monday,Workday,Long,Med,Modern,444750,7.2
The Girl with the Dragon Tattoo,David Fincher,2014-06-02,Monday,Workday,Long,Med,Modern,353545,7.8
The Hangover,Todd Phillips,2014-06-02,Monday,Workday,Medium,Med,Modern,619374,7.8
Oblivion,Joseph Kosinski,2014-06-02,Monday,Workday,Long,Med,Modern,416185,7
The Matrix Revolutions,"The Wachowski Brothers, The Wachowski Brothers",2014-06-02,Monday,Workday,Long,Med,Modern,385455,6.7
Stay,Marc Forster,2014-06-01,Sunday,Weekend,Medium,Med,Modern,64946,6.9
The Da Vinci Code,Ron Howard,2014-05-27,Tuesday,Workday,Long,Med,Modern,342911,6.6
Metropia,Tarik Saleh,2014-05-26,Monday,Workday,Short,Med,Modern,6483,6.3
The White Ribbon,Michael Haneke,2014-05-18,Sunday,Weekend,Long,Med,Modern,57251,7.8
The Great Gatsby,Baz Luhrmann,2014-05-18,Sunday,Weekend,Long,Med,Modern,391978,7.3
Star Trek Into Darkness,J.J. Abrams,2014-05-18,Sunday,Weekend,Long,Med,Modern,422184,7.8
The Hangover Part III,Todd Phillips,2014-05-18,Sunday,Weekend,Medium,Low,Modern,243609,5.9
The World's End,Edgar Wright,2014-05-18,Sunday,Weekend,Medium,Med,Modern,205345,7
Filth,Jon S. Baird,2014-05-18,Sunday,Weekend,Medium,Med,Modern,83310,7.1
Incendies,Denis Villeneuve,2014-05-11,Sunday,Weekend,Long,High,Modern,96105,8.2
The Pursuit of Happyness,Gabriele Muccino,2014-05-11,Sunday,Weekend,Medium,High,Modern,366642,8
End of Watch,David Ayer,2014-05-03,Saturday,Weekend,Medium,Med,Modern,195213,7.7
Non-Stop,Jaume Collet-Serra,2014-05-03,Saturday,Weekend,Medium,Med,Modern,214969,7
300,Zack Snyder,2014-04-27,Sunday,Weekend,Medium,Med,Modern,644823,7.7
Divergent,Neil Burger,2014-04-07,Monday,Workday,Long,Med,Modern,367646,6.7
Good Bye Lenin!,Wolfgang Becker,2014-04-05,Saturday,Weekend,Long,Med,Modern,120560,7.7
The Best Offer,Giuseppe Tornatore,2014-03-14,Friday,Workday,Long,Med,Modern,80212,7.8
Cell 211,Daniel Monzón,2014-03-01,Saturday,Weekend,Medium,Med,Modern,53535,7.7
Unbreakable,M. Night Shyamalan,2014-02-15,Saturday,Weekend,Medium,High,Old,277788,7.2
Training Day,Antoine Fuqua,2014-02-15,Saturday,Weekend,Long,Med,Modern,326984,7.7
Her,Spike Jonze,2014-02-01,Saturday,Weekend,Long,Med,Modern,400284,8
Safety Not Guaranteed,Colin Trevorrow,2014-01-24,Friday,Workday,Short,Low,Modern,106121,7
The Descendants,Alexander Payne,2014-01-24,Friday,Workday,Medium,Med,Modern,212946,7.3
Gladiator,Ridley Scott,2014-01-20,Monday,Workday,Long,Med,Old,1072919,8.5
"The Good, the Bad and the Ugly",Sergio Leone,2014-01-20,Monday,Workday,Long,High,Retro,547551,8.9
Dallas Buyers Club,Jean-Marc Vallée,2014-01-20,Monday,Workday,Medium,Med,Modern,358913,8
Once Upon a Time in the West,Sergio Leone,2014-01-20,Monday,Workday,Long,High,Retro,237174,8.6
Toy Story 3,Lee Unkrich,2014-01-20,Monday,Workday,Medium,Med,Modern,598416,8.3
Some Like It Hot,Billy Wilder,2014-01-20,Monday,Workday,Long,Med,Retro,191485,8.3
Blue Jasmine,Woody Allen,2014-01-20,Monday,Workday,Medium,Med,Modern,163029,7.3
American Hustle,David O. Russell,2014-01-18,Saturday,Weekend,Long,Med,Modern,384050,7.3
The Wolf of Wall Street,Martin Scorsese,2014-01-16,Thursday,Workday,Long,High,Modern,885975,8.2
Frozen,"Chris Buck, Jennifer Lee",2014-01-12,Sunday,Weekend,Medium,Low,Modern,460359,7.5
47 Ronin,Carl Rinsch,2014-01-12,Sunday,Weekend,Long,Med,Modern,125075,6.3
The Help,Tate Taylor,2014-01-11,Saturday,Weekend,Long,Med,Modern,348424,8.1
Flight,Robert Zemeckis,2014-01-11,Saturday,Weekend,Long,Med,Modern,279429,7.3
First Knight,Jerry Zucker,2014-01-09,Thursday,Workday,Long,Low,Old,58724,5.9
Runner Runner,Brad Furman,2014-01-09,Thursday,Workday,Short,Low,Modern,54894,5.6
Prisoners,Denis Villeneuve,2014-01-09,Thursday,Workday,Long,Med,Modern,443303,8.1
The Wolverine,James Mangold,2014-01-09,Thursday,Workday,Long,Low,Modern,362297,6.7
Fruitvale Station,Ryan Coogler,2014-01-01,Wednesday,Workday,Short,Med,Modern,59504,7.5
Escape Plan,Mikael Håfström,2014-01-01,Wednesday,Workday,Medium,Med,Modern,191014,6.7
