City.Code,City,Metro,County,State,Population.Rank,January.2017
13150,Oxnard,Ventura,Ventura,CA,115,2374
44282,Bradenton,Sarasota,Manatee,FL,116,1615
32931,Montgomery,Montgomery,Montgomery,AL,117,851
26967,Santa Rosa,Santa Rosa,Sonoma,CA,118,2504
17759,Des Moines,Des Moines,Polk,IA,119,1114
13478,Reno,Reno,Washoe,NV,120,1528
20604,Spokane,Spokane,Spokane,WA,121,1084
10210,Augusta,Augusta,Richmond,GA,122,847
27362,Tacoma,Seattle,Pierce,WA,123,1475
11671,Grand Rapids,Grand Rapids,Kent,MI,124,1208
6285,Oceanside,San Diego,San Diego,CA,125,2354
24821,Gainesville,Gainesville,Alachua,FL,126,1208
14701,Woodbridge,Washington,Prince William,VA,127,1804
53673,Ocala,Ocala,Marion,FL,128,989
45457,Glendale,Los Angeles,Los Angeles,CA,129,2959
3737,Boise,Boise City,Ada,ID,130,1226
24960,Greenville,Greenville,Greenville,SC,131,1226
10417,Birmingham,Birmingham,Jefferson,AL,132,747
6909,Salt Lake City,Salt Lake City,Salt Lake,UT,133,1436
25218,Huntington Beach,Los Angeles,Orange,CA,134,3074
30141,Akron,Akron,Summit,OH,135,747
47426,Rockford,Rockford,Winnebago,IL,136,906
54288,Salinas,Salinas,Monterey,CA,137,2140
14724,Worcester,Worcester,Worcester,MA,138,1492
25981,Moreno Valley,Riverside,Riverside,CA,139,1660
52998,Little Rock,Little Rock,Pulaski,AR,140,1026
33501,Port Saint Lucie,Port St. Lucie,Saint Lucie,FL,141,1409
51167,Brownsville,Brownsville,Cameron,TX,142,907
26637,Providence,Providence,Providence,RI,143,1414
16753,Amarillo,Amarillo,Potter,TX,144,1152
5534,Lancaster,Los Angeles,Los Angeles,CA,145,1651
4764,Fort Collins,Fort Collins,Larimer,CO,146,1731
40897,Shreveport,Shreveport,Caddo,LA,147,896
31471,Evansville,Evansville,Vanderburgh,IN,148,829
34937,Yonkers,New York,Westchester,NY,149,2535
18518,Hayward,San Francisco,Alameda,CA,150,2668
37837,Chattanooga,Chattanooga,Hamilton,TN,151,1108
17539,Columbus,Columbus,Muscogee,GA,152,813
10215,Aurora,Chicago,Kane,IL,153,1543
13108,Ontario,Riverside,San Bernardino,CA,154,1863
32179,Jackson,Jackson,Hinds,MS,155,803
31821,Grand Prairie,Dallas-Fort Worth,Dallas,TX,156,1448
40492,Rancho Cucamonga,Riverside,San Bernardino,CA,157,2203
40202,Overland Park,Kansas City,Johnson,KS,158,1817
26140,Newport News,Virginia Beach,Newport News City,VA,159,1230
24832,Garden Grove,Los Angeles,Orange,CA,160,2561
5424,Killeen,Killeen,Bell,TX,161,932
6792,Roanoke,Roanoke,Roanoke City,VA,162,1023
7087,Sioux Falls,Sioux Falls,Minnehaha,SD,163,1159
47958,Tempe,Phoenix,Maricopa,AZ,164,1391
48215,Vancouver,Portland,Clark,WA,165,1607
12014,Huntsville,Huntsville,Madison,AL,166,991
38333,El Cajon,San Diego,San Diego,CA,167,2322
40227,Palmdale,Los Angeles,Los Angeles,CA,168,1727
41256,Topeka,Topeka,Shawnee,KS,169,895
17950,Elk Grove,Sacramento,Sacramento,CA,170,1801
47250,Pueblo,Pueblo,Pueblo,CO,171,1096
11529,Fredericksburg,Washington,Spotsylvania,VA,172,1536
30742,Cape Coral,Fort Myers,Lee,FL,173,1504
7221,Springfield,Springfield,Hampden,MA,174,1354
19523,Murfreesboro,Nashville,Rutherford,TN,175,1385
10843,Clarksville,Clarksville,Montgomery,TN,176,1002
39931,Naperville,Chicago,Du Page,IL,177,2318
40298,Peoria,Phoenix,Maricopa,AZ,178,1368
4655,Fairfax,Washington,Fairfax,VA,179,2473
54311,Santa Clarita,Los Angeles,Los Angeles,CA,180,2546
20008,Pomona,Los Angeles,Los Angeles,CA,181,2038
39312,Lafayette,Lafayette,Lafayette,LA,182,1348
39191,Kansas City,Kansas City,Wyandotte,KS,183,838
30559,Boynton Beach,Miami-Fort Lauderdale,Palm Beach,FL,184,1845
7353,Syracuse,Syracuse,Onondaga,NY,185,1054
20317,Salem,Salem,Marion,OR,186,1449
32060,Hollywood,Miami-Fort Lauderdale,Broward,FL,187,1718
19873,Paterson,New York,Passaic,NJ,188,1469
5519,Lakewood,Denver,Jefferson,CO,189,1945
10071,Alexandria,Washington,Alexandria City,VA,190,2414
31184,Dayton,Dayton,Montgomery,OH,191,701
28065,Yuma,Yuma,Yuma,AZ,192,933
54626,Sunnyvale,San Jose,Santa Clara,CA,193,3806
21114,Visalia,Visalia,Tulare,CA,194,1236
25514,Las Cruces,Las Cruces,Dona Ana,NM,195,986
4054,Charleston,Charleston,Charleston,SC,196,1794
35282,Beaumont,Beaumont,Jefferson,TX,197,1086
19865,Pasadena,Houston,Harris,TX,198,1314
